"Order Attachments","Order Attachments"
"File","File"
"Comment","Comment"
"Download %s","Download %s"
"Choose File","Choose File"
"Allowed extensions: %s","Allowed extensions: %s"
"Write comment here","Write comment here"
"Remove File","Remove File"
"Files may not exceed %sKB","Files may not exceed %sKB"
"Invalid file type","Invalid file type"
"Unable to upload file","Unable to upload file"
"Up to %d files are allowed","Up to %d files are allowed"
"File was not found","File was not found"
"Attachment was not found","Attachment was not found"
"Download Url","Download Url"
"Clear lost attachments","Clear lost attachments"
"Clear attachments with empty order_id and quote_id","Clear attachments with empty order_id and quote_id"
"Clear old guest entries","Clear old guest entries"
"Clear attachments with empty order_id, from guest carts, updated more than 2 days ago","Clear attachments with empty order_id, from guest carts, updated more than 2 days ago"
"Quote ID","Quote ID"
"Delete Attachments","Delete Attachments"
"Edit Attachment","Edit Attachment"
"This attachment no longer exists.","This attachment no longer exists."
"Attachment","Attachment"
"Attachment has been saved.","Attachment has been saved."
"Attachment has been deleted.","Attachment has been deleted."
"Unable to find attachment to delete.","Unable to find attachment to delete."
"Restrictions","Restrictions"
"File restrictions","File restrictions"
"Limit","Limit"
"Size, Kilobytes","Size, Kilobytes"
"Per File","Per File"
"Allowed extensions","Allowed extensions"
"Add File","Add File"
"Save Comments","Save Comments"
"Clear lost and old guest attachments","Clear lost and old guest attachments"
"Allow file upload during checkout","Allow file upload during checkout"
"Allow file upload on order view page","Allow file upload on order view page"
